id;posicion;premium
1;A0;true
2;A1;true
3;A2;false
4;A3;false
5;A4;true
6;A5;true
7;A6;true
8;A7;true
9;A8;false
10;A9;true
11;A10;true
12;A11;false
13;A12;true
14;A13;false
15;A14;true
16;A15;true
17;A16;false
18;A17;false
19;A18;false
20;A19;true
21;B0;false
22;B1;false
23;B2;true
24;B3;true
25;B4;false
26;B5;false
27;B6;false
28;B7;true
29;B8;true
30;B9;true
31;B10;true
32;B11;true
33;B12;true
34;B13;true
35;B14;false
36;B15;false
37;B16;false
38;B17;true
39;B18;true
40;B19;false
41;C0;false
42;C1;true
43;C2;false
44;C3;true
45;C4;true
46;C5;false
47;C6;true
48;C7;true
49;C8;true
50;C9;true
51;C10;true
52;C11;true
53;C12;false
54;C13;false
55;C14;false
56;C15;true
57;C16;false
58;C17;true
59;C18;true
60;C19;false
61;D0;false
62;D1;false
63;D2;true
64;D3;true
65;D4;true
66;D5;false
67;D6;false
68;D7;false
69;D8;false
70;D9;false
71;D10;false
72;D11;true
73;D12;false
74;D13;false
75;D14;true
76;D15;false
77;D16;false
78;D17;false
79;D18;true
80;D19;false
81;E0;true
82;E1;true
83;E2;false
84;E3;false
85;E4;false
86;E5;false
87;E6;false
88;E7;true
89;E8;false
90;E9;true
91;E10;false
92;E11;true
94;E13;false
95;E14;false
96;E15;false
97;E16;true
98;E17;false
99;E18;true
100;E19;false
